,french,wolof
5591,Le charbon ne prendra pas vite car il est mouillé.,Këriñ gi du gaawa jàpp ndax dafa tooy.
5592,"Ñów qu'il vienne, toutes affaires cessantes.",Lu mu jàppoon na ko wacc te.
5593,Je t'aurai.,Dinaa la jàpp.
5594,On l'a fait prisonnier.,Jàpp nañu ko.
5595,Elle prend bien soin de tes enfants.,Mu ngi jàpp say doom bu baax.
5596,Il n'a jamais prié sans avoir fait ses ablutions.,Mësta julli te jàppul.
5597,"Tu ne fais rien ici, va aider ton oncle maternel au champ !","Defuloo fi dara, demal jàppale sa nijaay ca tool ba !"
5598,Aide-le à prendre le sac !,Jàppale ko saaku bi !
5599,"Si tu ne trouves pas d'argent disponible ici, je ne pourrai pas t'aider.","Boo fi fekkulee xaalis bu jàppandal, duma la mëna dimmali."
5600,Ceci le facilitera.,Loolu dina ko jàppandal.
5601,Que Dieu facilite le voyage !,Yàlla na Yàlla jàppandal yoon wi !
5602,Cette aide est due à des relations de fidélité.,"Jàppandal gii, kóllëree ko waral."
5603,"S'il en a les moyens, il peut le faire.","Su ameeg jàppandal, mën na ko def."
5604,Il dit que vous devez vous accommoder de cette chambre provisoirement.,Mu ne ngeen jàppandi ci néeg bii.
5605,Il lui a donné une somme d'argent assez rondelette.,Jox na ko xaalis bu xawa jàppandi.
5606,Tu peux y acheter des habits neufs si tu en as les moyens.,Mën nga fa jénde yére yu bees su fekkee mu jàppandi la.
5607,Ne t'agrippe pas au pied de la table !,Bul jàppandiku ci tànku taabal bi !
5608,Est-ce que tu disposes de quoi lui donner ?,Ndax jàppandiku nga loo ko jox ?
5609,Ne t'agrippe pas au pied de la table !,Bul jàppandu ci tànku taabal bi !
5610,Ils s'en vont la main dans la main.,"Ñu ngi jàppante, di dem."
5611,"Il faudra rester solidaires, unis.","Nangeen jàppante, nekk benn."
5612,Ils se querellaient pour des futilités.,Dañu doon jàppante ndax yu ñàkk-fayda.
5613,Ëndi leur querelle est partie d'une broutille.,"Seen jàppante bi daal, lu soof a ko."
5614,"C'est chaud, avec quoi vais-je l'attraper ?","Dafa tàng, lu ma koy jàppe ?"
5615,Je te considère comme un père.,Dama la jàppe baay.
5616,Il ne faut pas m'en vouloir pour mon irascibilité.,Bu ma jàppe sama gaawa mer.
5617,"Si la table est lourde, tu appelles Omar et vous la portez à deux.","Su taabal bi diisee, nga woo Omar ngeen jàppoo ko."
5618,"Il est inquiet, c'est pour ça qu'il est venu te voir.",Dafa jàq moo tax mu seetsi la.
5619,"Quand l'enfant est désemparé, il présente son pubis à l'adulte.","Gone, bu jàqee, tàllal mag naqam."
5620,Conduis les vaches à la jachère.,Yóbbul nag yi ca jàtti ja.
5621,Il veut se lever.,Dafa bëgga jóg.
5622,La fumée s'élève.,Saxaar saa ngiy jóg.
5623,J'en viens à l'instant.,Léegi laa fa jóge.
5624,Le beurre provient du lait.,"Dax, ci meew la jóge."
5625,Le fait qu'il s'adonne à la boisson m'inquiète.,Naan gi mu jógtee jaaxal na ma.
5626,Dieu mettra sa main dans tout ce qui adviendra dans votre existence.,Yàlla dina jóo loxoom ci lépp lu xew ci seen dund.
5627,Tu t'immisces dans une chose sans en connaître les conséquences.,Yaa ngiy jóo sa bopp ci loo xamul lu la cay fekk.
5628,Je fabrique une voiture en tige de mil.,Woto jóo laay defar.
5629,Il a relié les cordes par une épissure car le puits est profond.,Dafa jóoke ay buum ndax teen bi dafa xóot.
5630,"Quand je suis entré dans la chambre, j'ai trouvé que les gars avaient mis en désordre tout ce que j'y avais laissé.","Ba ma duggee ca néeg ba, fekk naa gaa ña jóoke lépp la ma fa bàyyi woon."
5631,"Quand la cloche sonne, nous commençons à travailler.","Bu jóolóoli yi tëggee, nu tàmbalee liggéey."
5632,"Si tu veux un lance-pierre, tu vas chercher un bâton fourchu.","Soo bëggee laspeer, dangay wuti jóoñ."
5633,Qui a entassé le charbon ici ?,Ku fi jóor këriñ gi ?
5634,Tout le tas pour cinq cents francs seulement !,Jóor bépp téeméer rekk !
5635,J'en ai une très grande quantité.,Am naa ci sàq ak jóor.
5636,Il y a des melons en abondance cette année.,Xaal nee na jópp ren.
5637,Enduis-lui-en la tempe !,Diwal ko ko ci kaabaab gi !
5638,Il a une grande gueule.,Dafa réy kaabaab.
5639,C'est la grande brebis que j'ai vendue.,Kaabar wi laa jaay.
5640,"Si tu ne cherches pas une cage, tes pigeons s'en iront.","Soo wutul kaaf, sa pitax yi dinañu dem."
5641,Je ne sais pas me mettre un turban.,Manumaa kaala sama bopp.
5642,"Si tu le fais, je te tire mon chapeau.","Soo ko defee, ma kaala la."
5643,C'est aujourd'hui qu'on décore les militaires qui étaient allés au Koweit.,Tey lañuy kaala soldaar sa demoon Kowet.
5644,Le turban fait cinq mètres.,Kaala gi mat na juróomi meetar.
5645,Il n'y a pas que les Mauritaniens qui portent un turban.,Du Waa Gànnaar rekk ñooy kaalawu.
5646,"Comme tu l'as coupé, ce n'est pas droit.",Ni nga ko dagge dafa kaam.
5647,Achète un Coran et offre-le-lui !,"Jéndal Kaamil, may ko ko !"
5648,Ils récitent intégralement le Coran.,Dañuy wàcce Kaamil.
5649,"Pendant la campagne électorale, j'étais en Europe.",Kaampaañ baa ngi ma fekk Tugal.
5650,C'est par les crânes qu'on détermine le nombre d'années écoulées depuis qu'on les a exterminés.,Kaaŋ yi lañuy xaymaa at yi wees ba ñu leen faagaagalee ak léegi.
5651,Ce sont les cracks qui entrent dans cette école.,"Ekool boobu, kaaŋ a fay dugg."
5652,Ne mets pas de piment dans la sauce !,Bul kaani soos bi !
5653,Qu'est-ce qu'il est piquant ce piment !,Kaani gee ka saf !
5654,"Quand on aime les beignets de haricot, on ne doit pas redouter le piment.","Ku bëgg akara, ñeme kaani."
5655,Le petit piment est plus piquant.,Kaani-gu-sew gee gëna saf.
5656,Où puis-je trouver du poivron ?,Fan laa mëna ame kaani-salaat ?
5657,Achète du piment fort !,Jéndal kaani-xeeñ !
5658,"Comme ton enfant est mignon, je touche du bois !","Sa doom jee ka rafet, kaar !"
5659,Le vaccin est une protection.,"Ñakk, kaaraange la."
5660,Qqch qui contribue à instituer la protection.,Lu jëm ci saxal kaaraa-nge.
5661,L'autobus arrive.,Kaar baa ngiy ñów.
5662,Le beurre de karité est bon pour les cheveux.,Kaarite baax na ci kawar.
5663,Le verre est cassé.,Kaas bi dafa toj.
5664,"Pour pincer les oreilles, il n'a pas son pareil.","Kaata moom, amu ci morom."
5665,Tonnerre !,Kaawtéef !
5666,Viens ici !,Kaay fii !
5667,Il est dans les toilettes.,Mu ngi ci kabine bi.
5668,Exclus-moi de tes propos-là.,Kaccat ma ci sa wax jooju.
5669,Il l'a maintenu mais il n'arrêtait pas d'avoir des convulsions.,"Dafa ko jàpp, ba-tey muy kadd-kaddi rekk."
5670,Il plaisante.,Dafay kaf.
5671,"Finie, la plaisanterie.",Kaf bi doy na.
5672,Il a projeté une lance sur la gazelle.,Dafa kajj kéwél gi.
5673,Il a peur des caméléons.,Dafa ragal kakatar.
5674,"Si tu ne me payes pas, je porterai plainte contre toi à la police.","Soo ma feyulee, dinaa la kalaame polis."
5675,Garde les silures et prends les carpes pour préparer du yaasa !,"Dencal kala yi te jél waas yi, togg yaasa !"
5676,Verse-lui deux mesures de trois kilos.,Sottil ko ñaari kalamba.
5677,Les Diola et les Sérères entretiennent des relations de cousinage interethnique.,Joolaa ak Séeréer dañuy kalante.
5678,Les nommés Wade et Cissé sont des cousins à plaisanterie.,Wàdd ak Siise ay kal lañu.
5679,"Ça, c'est le porte-monnaie d'Omar.",Kalpe Omar la.
5680,Les lampes se sont éteintes soudain.,Làmp yi dañu jékki jékki ne kamaj.
5681,"Ils parlaient dans mon dos, j'entrai, ils se turent.","Dañu ma doon jëw, ma dugg, ñu ne kamaj."
5682,La robe ample était à la mode du temps de nos grands-parents.,"Kamisol, ca jamano sunuy maam yaa la xewoon."
5683,Quand est-ce ?,Kañ la ?
5684,Il dit qu'il ne peut pas venir mais il vous encourage dans votre travail au niveau de la coordination.,"Mu ne manula dikk, waaye mu ngi leen di kañ ci seen liggéey ci kordinaasoŋ bi."
5685,Qui as-tu appelé ?,Kan nga woo ?
5686,Quelle personne ?,Nit kan ?
5687,Quand est-il parti ?,Kaña la dem ?
5688,Ton visage est plein de sable.,Sa kanam gaa ngi fees ak suuf.
5689,Tu te laveras les parties intimes avec ce médicament.,"Garab bii, danga koy raxase sa kanam."
5690,Ce sont les rats de Gambie qui ont creusé ici.,Kancóoli yee gas fii.
5691,Le trou que le renard de sable a creusé.,Kan wi wel wi gas.
5692,C'est seulement par jalousie qu'il l'a jeté.,Kaññaan rekk a tax mu sànni ko.
5693,"Il est fou, celui-là.",Kii dafa kannasu.
5694,Les pêcheurs ont ramené beaucoup de pouces-pieds.,Mool yi ëndi nañu kannax gu bare.
5695,On ne peut manquer de citer tes exploits car on veut que les jeunes fassent de toi leur modèle.,Kañ wi mënuñu ko ñàkka def ndax dañu bëgg ndaw ñi def la seen royukaay.
5696,On le prépare avec de la civette.,Kaq lañu koy togge.
5697,"Chaque jour, il lui barre la route et lui arrache son pain.","Dafa koy kar bés bu jot, nangu mburoom."
5698,J'ai la tête couverte de pellicules.,Sama bopp baa ngi fees ak karaas.
5699,Il passe son temps à faire des escroqueries.,Nekkewu fi lu dul karabaane.
5700,"Quand le bétail vient en transhumance, on leur prête les terres en friche.","Bu jur gi màngsee, dañu leen di abal karas gi."
5701,Je veux que tu me fasses de fins granulés de mil.,Karaw gu sew laa bëgg nga defal ma.
5702,"Ce sont de jeunes Acacia, fais attention à ne pas les couper !","Ay kar-kar lañu, moytu leena gor !"
5703,Le jeune Acacia devient grand Acacia.,Kar-kar ay indi kàdd.
5704,"Aujourd'hui, j'ai manqué de manger à l'aube.",Tey dama karmat.
5705,C'est la clé du cadenas.,Caabi karnaat bi la.
5706,C'est pendant la saison des pluies qu'on organise des veillées de chants et de danses de circoncision.,Nawet lañuy kasag.
5707,Les nouvelles chansons de circoncision ne me plaisent pas.,Kasag yu bees yi neexuñu ma.
5708,Espèce de bon à rien !,Kasara gi nga doon !
5709,Il n'est pas surprenant que l'enfant ait fugué.,Kas-jàppul xale bi fàq.
5710,Ils ont tiré au sort ma tunique.,Dañu kas-kas sama mbubb.
5711,"Celui qui ne paye pas, on le mettra en prison.","Ku feyul, dinañu ko téj kaso."
5712,J'ai déjà fermé la lettre.,Kaste naa leetar bi ba-noppi.
5713,"Moi, en ce qui me concerne, je n'irai pas car il ne m'a pas invité.","Man kat duma dem, nde woowu ma."
5714,Le varan s'agrippa fermement à la queue du singe.,Mbëtt ma ne katab jafandu ca geenu golo ga.
5715,C'est quand ils le burent qu'ils devinrent fous.,Ba ñu ko naanee daal lañu katakayna.
5716,Tu trembles et tu dis qu'il ne fait pas froid.,Yaa ngiy kat-kati te naan seddul.
5717,Est-ce donc le soleil qui a roussi tes cheveux ?,Xanaa naaj wee lakk sa kawar gi ?
5718,Ta chaussette est trouée.,Sa kawas bi dafa bëtt.
5719,Place-le en hauteur à cause de l'enfant !,Teg ko fu kawe ndax xale bi !
5720,Place-le plus haut.,Gën koo kaweel.
5721,Le dessus est plus doux.,Kaw gee gëna nooy.
5722,Il vient de la campagne.,Ci kaw gi la jóge.
5723,Les paysans sont fatigués.,Kaw-kaw yi sonn nañu.
5724,"J'en mange, évidemment !",Dama koy lekk kay !
5725,"Moi, évidemment !","Man, kay !"
5726,"Toi, pour sûr, tu ne partiras pas.",Yow kay doo dem.
5727,Donne-moi du papier pour l'envelopper !,May ma kayit gu ma ko lëmëse !
5728,Tu te payes ma tête seulement.,Danga may kayitloo rekk.
5729,Serre les jambes !,Kebaleel lam bi resserre le bracelet ! Kebaleel say tànk !
5730,Tes dents ne se superposent pas.,Sa bëñ yi kebaloowuñu.
5731,La vieille est toujours là-bas à soliloquer du matin au soir.,"Soxna saa nga fa, bu xëyee, di kebetu ba ngoon jot."
5732,La viande est extrêmement dure.,Yàpp wi dafa dëgër këc.
5733,"Aujourd'hui, il a eu au déjeuner du riz avec des sardinelles fumées.","Tey, ceebu keccax la añe."
5734,Pourquoi lui as-tu donné un coup de pied ?,Lu-tax nga këdd ko ?
5735,"Mon corsage que j'avais l'intention de porter à l'occasion du baptême est mal cousu. À présent, je suis perplexe.","Sama xiit-mball bi ma naroona sol ci ngénte li, ñaw bi baaxul. Fi mu nekk dama keef."
5736,Je suis le mystère qui est apparu parmi les humains.,Maay kéemtaan gi feeñ ci biir nit ñi.
5737,"Dès qu'il reçoit sa 'quinzaine', il va tout droit au bistrot.",Bu jotee keeseenam rekk jubal ca bistoroŋ ba.
5738,C'était lui le ministre de l'environnement.,Moo doon ministaru kéewnga gi.
5739,Il a arraché ma chaîne.,Dafa këf sama ceen.
5740,"Elle s'est mise un coussinet à l'arrière, ce n'est pas une chute de rein naturelle.",Dafa këfëlu; du waŋ rekk.
5741,"Cette chose, qu'est-ce que c'est ?","Këf kii, lan la ?"
5742,"Si tu essaies de me tourner en dérision, je te remets à ta place.","Soo may jéema kekkantoo, ma teg la sa palaas."
5743,Le sol dur est meilleur pour apprendre à faire du vélo.,Kekk bee gën ci jàng dawal welo.
5744,"Ici, c'est un sol dur sur lequel un singe ne peut pas échapper à un chien.","Fii kekk la, golo du fi rawe ab xaj."
5745,"Quand l'ivrogne tomba, la dame étouffa de rire.","Ba màndikat ba daanoo, ndaw si dafa ree ba kekku."
5746,Cherche une canne en bois de kel !,Wutal yetu kel.
5747,Il a mangé; il est tout à fait rassasié.,Lekk na ba suur këll.
5748,Sers les circoncis dans l'écuelle.,Yekkalal njulli yi ci këll gi.
5749,"Achète des arachides décortiquées, c'est moins fatigant.","Jéndal kemb, moo gëna noppale."
5750,Essuie le rebord.,Fompal kéméj gi.
5751,Il lui a donné un coup de coude.,Dafa ko këmëx.
5752,C'est avec un coup de coude qu'il l'a mis à genoux.,Këmëx la ko sukkloo.
5753,Il a fait tout son possible pour être député.,Def na kemtalaayug kàttanam ngir doon dipite.
5754,C'est extrêmement dur.,Dafa dëgër këŋ.
5755,La journée que nous avions passée à Malika était agréable.,Sunu kendaay la Malika neexoon na.
5756,"Tout autre qui vient, je lui dis que j'ai un hôte.","Keneen ku dikk, ma ne la dama am gan."
5757,L'unicité de Dieu.,Kenneefu Yàlla.
5758,L'un entra.,Kenn ki dugg.
5759,Je n'ai vu personne.,Gisuma kenn.
5760,Il y a quelqu'un qui est assis.,Am na kenn ku toog.
5761,Nous grillions des arachides dans le sable.,Danu doon këntu.
5762,Le pilier principal ne peut pas supporter le toit de l'abri.,Kenu gi àttanul mbaar mi.
5763,Lui seul.,Moom kepp.
5764,Pince-le pour qu'il ne parte pas avec le vent !,Kepp ko ndax du dem ak ngelaw li !
5765,Baobab referme-toi !,Guy kepp !
5766,Ne renverse pas le pot.,Bul këpp pot bi.
5767,Il a fait un détournement de fonds.,Dafa këpp kees.
5768,Celui qui monnaye l'ombrage de son arbre doit en baisser le prix en fin d'après-midi s'il ne veut pas de perte.,"Kuy jaay sa keppaar, bu tàkkusaan jotee te wàññiwoo sa njëg, ñàkk nga."
5769,Nous nous servions de calebasses comme pièges pour prendre les pigeons.,Këpptal lañu daan fiire pitax yi.
5770,Le mal que tu fais se retournera contre toi.,Lu bon li ngay def dina këppu ci sa kow.
5771,Le pan de son pagne est coincé à la porte de la voiture.,Lafu séram dafa keppu ci buntu woto bi.
5772,Toutes les pinces à linge que j'avais achetées sont perdues.,Keppu yi ma jéndoon yépp réer nañu.
5773,C'est lorsque le lotissement sera terminé qu'on va commencer à vendre.,Bu kërale gi noppee lañuy tàmbalee jaay.
5774,Qu'as-tu à t'activer ainsi ?,Looy kërëb-kërëbi nii ?
5775,Viens-me voir à la maison.,Seetsi ma ca kër ga.
5776,C'est dans ce camp que vous essayerez de faire entrer la balle.,Ci kër gii ngeen di jéema dugal bal bi.
5777,Enterrer l'ombre ne l'empêchera pas de paraître.,Suul ker du ko teree soor.
5778,Partie de la tête que couvre le lobe de l'oreille.,Keru nopp.
5779,Je l'ai grillé au charbon de bois.,Këriñ laa ko lakke.
5780,"Ñów dès que le soleil sera au zénith, il viendra.","Ker-kepp fu mu jote, dina."
5781,"En un clin d'oeil tous les enfants du village se précipitèrent, la maison se remplit.","Ci simila-ak-saala, xale ya ca dëkk ba yépp ne kër-kër, ne këpp, kër gi fees."
5782,C'est en travaillant activement qu'on arrive à avoir une maison.,Kër-këri mooy ëndi kër.
5783,"Ñów l'autre jour, j'avais oublié de te dire que je viendrais ici.","Keroog, dama la fàtte woon wax ne dinaa fi."
5784,C'était ce jour où nous nous sommes croisés.,"Keroog, ba ñu tasee la woon."
5785,C'est la pudeur qui m'empêche de répéter ses mots d'alors.,Kersa moo ma teree wax baatam ya.
5786,Il est timide.,Dafa bare kersa.
5787,"Quand on dépend de quelqu'un, on se doit de le respecter.",Ku ëmb sa sanqal ëmb sa kersa.
5788,Il fait très sombre dehors.,Biti baa ngi lëndëm këruus.
5789,"Une poule, quand bien même elle descendrait d'une maison à étages, on ne la chasserait qu'en faisant pscht !","Ganaar, bu doon wàccee ci taaxum-kaw itam, kes rekk lañu koy dàqe !"
5790,L'eau ne se décompose pas d'elle-même.,Ndoxum kese du forox.
5791,Je ne boirai pas ce que tu as laissé.,Duma naan sa kësit.
5792,C'est le parfum qui s'est renversé ici.,Keteraan gee fi tuuru.
5793,Un besoin ponctuel et immédiat.,"Soxla su ne këtt, ne jonn."
5794,"Si tu dépenses ton argent et qu'un besoin ponctuel se présente, comment vas-tu faire ?","Boo jaayee sa xaalis, këtt ne jonn, nooy def ?"
5795,Qui a écorné les fleurs ?,Kan moo këtt fulóor yi ?
5796,Mon chien a les oreilles écornées.,"Sama xaj, nopp yi dañu këtt."
5797,Ablaye souffre de retard de croissance.,Ablaay dafa ketto.
5798,Le lion a vu une gazelle.,Gaynde gi gis na ag kéwél.
5799,C'est depuis ma grossesse que j'ai pris l'habitude de manger de l'argile blanche.,Ca sama biir ba laa tàmme lekk kew.
5800,"Il regarde fixement, avec attention.",Mu ngi ne keww di xoole.
5801,Vends-moi un demi-kilo de pinces de crabes !,Jaay ma liibaru kidd !
5802,Tu m'as enlevé mes atouts.,Damm nga sama kidd.
5803,Se vacciner est une protection.,"Ñakku bi, kiiraay la."
5804,C'est le chef de la maison.,Mooy kilifag kër gi.
5805,L'ami d'un chef est un chef.,"Waayu kilifa, kilifa la."
5806,Ils placèrent le pays sous la tutelle de l'Angleterre.,Ñu teg réew mi ci kilifteefu Angalteer.
5807,Tu n'as pas d'autorité.,Amuloo kilifteef.
5808,Vends-moi un kilo de viande !,Jaay ma kilo yàpp !
5809,Prends une taffe et rends-moi ma cigarette.,Kimmil te delloo ma sama sigaret.
5810,Est bon pour la santé.,Kinkilibaa dafa baax ci wér-gi-yaram le kinkilibaa.
5811,La maison est faite de lattes de bambou.,"Kër gi, kirintiŋ lañu ko defare."
5812,Ils se jetèrent brusquement l'un sur l'autre.,Ñu ne kirtim songoo.
5813,Un pantalon en toile.,Tubayu kitikaŋ.
5814,"Laisse-moi avec les griots, ils sauront qu'ils ont affaire à un dur.","Bàyyi ma ak géwél yi, dinañu xam ne kitikaŋ lañu fi fekk."
5815,Donne-le lui !,Jox ko ko !
5816,Appelle-le !,Woo ko !
5817,Prends ça !,Jél ko !
5818,Êtes-vous au courant de cela ou ?,Yég ngeen ko am ?
5819,Êtes-vous au courant de cela ou non ?,Yég ngeen ko am ?
5820,Des doigts crochus.,Baaraam yu kobb.
5821,Je t'ai vu le gratter pour attirer son attention.,Gis naa la nga koy kobos.
5822,C'est ton mari qui doit prendre en charge ta nourriture et ton habillement.,Sa jëkkër a wara gàddu sa dund ak sa koddaay.
5823,Le cheval est en érection.,Fas wi dafa koddal.
5824,"Je l'ai trouvé dans la cour, il faisait 'kof-kof'.","Maa ngi ko fekk ci ëtt bi, mu naan kof-kof."
5825,"Je l'ai trouvé dans la cour, tout tremblant.","Maa ngi ko fekk ci ëtt bi, mu naan kof-kof."
5826,"Il dit qu'aujourd'hui il ne fait pas froid, alors qu'il grelotte.","Mu ngi naan tey seddul, tey kof-kofi."
5827,Il lui a jeté un caillou.,Ab kogg la ko sànni.
5828,Tu sortiras n'est-ce pas ? Je te coincerai sur la route du marché.,Du dinga génn ? Dinaa la koj yoonu marse.
5829,Il l'a attaché au cou-de-pied.,Mu ngi ko takk ci kojór bi.
5830,Fais-moi une salade de concombre !,Defaral ma salaatu kokombar !
5831,Je donne au cokseur sa part pour les voyageurs qu'il amène.,Dama jox koksër bi wàllam ci kilyaan yi muy indi.
5832,Le vent a emporté mon châle.,Ngelaw li yóbbu na sama kol.
5833,J'ai besoin de miel de mouche.,Dama soxla lemu kolkolaat.
5834,Va-t'en avec ta grosse bedaine !,Demal ak sa koll gu réy !
5835,Bouche l'entrée du trou de la souris !,Fattal kolloor gi !
5836,"Aujourd'hui, il fait froid; je vais porter un châle.","Tey, dafa sedd; damay kolu."
5837,Il est debout sur le rebord du puits.,Mu ngi taxaw ci komborkob teen bi.
5838,"Alors, je m'en vais.","Kon, maa ngiy dem."
5839,C'est tout à fait sec.,Wow na koŋ.
5840,Reconduis-le jusqu'à l'angle de la rue !,Gunge ko ba ca koñ ba !
5841,Tout être humain que tu vois a été créé par Dieu.,"Nit koo gis, Yàllaa ko sàkk."
5842,À qui l'as-tu remis ?,Koo ko jox ?
5843,Il suit une antilope-cheval.,Ag kooba lay topp.
5844,Ce gars est un caïd.,Waa jooju kooba la.
5845,Va laver la cuillère.,Demal raxas koog bi.
5846,Celui qui a fini de faire son gâteau de riz range ses cuillères.,"Ku sa nàkk jeex, nga aj say koog."
5847,"Cette école, on y apprend l'économie.","Daara jooju, mbirum koom-koom lañu fay jàng."
5848,"C'est un gringalet, il ne peut pas le porter.","Ab kooñoor la, àttanu ko."
5849,Le jeûne est pénible cette année.,Koor gi metti na ren.
5850,Ils ont comploté contre le prophète.,Dañoo koote yonent bi.
5851,C'est au pénis que la fourmi l'a piqué.,Ci kooy la ko melentaan wi màtt.
5852,Le pénis de l'hyène n'est pas une balançoire à chevreau.,Kooyu bukki du njoowaanug tef.
5853,Tu veux me soutirer de l'argent.,Danga ma bëgga koppartu.
5854,Verse-lui un peu de lait dans le bol !,Sottil ko tuuti meew ci kopp bi !
5855,Où est le chéri de Fatou ?,Ana kor Faatu ?
5856,Arrête !,Kor !
5857,La trahison n'est pas une affaire de noble.,Kor du yëfu gor.
5858,As-tu des habits pour la fête de fin du ramadan ?,Am nga yére korite ?
5859,On lui a jeté un sort.,Dañu ko kort.
5860,C'est l'effet d'un sortilège.,Loolu kort a ko def.
5861,Ne craque pas l'allumette dans le vent !,Bul kos almet bi ci ngelaw li !
5862,Mets une virgule après le mot !,Defal ab kos ci gannaaw baat bi !
5863,Donne-lui les ormeaux pour qu'il les enlève de leurs coquilles.,Jox ko kiir yi mu kot leen.
5864,Il avait acheté des crabes.,Ay koti la jéndoon.
5865,Des oreilles cornées.,Nopp yu kotom.
5866,"Il vient avec sa femme, bras dessus bras dessous.","Mu ngi kott jabar ji, di ñów."
5867,Ne garde pas l'argent pour toi tout seul !,Bul kott xaalis bi !
5868,Ce sont tes toussotements qui l'ont réveillé.,Sa kox-kox yee ko yee.
5869,Qui toussote ainsi ?,Kuy kox-koxi noonu ?
5870,Puissent tous ceux qui applaudiront être encore en vie l'an prochain.,"Ku ci tàccu, yal na nga fekke déwén."
5871,Il y a quelqu'un dehors.,Am na ku nekk ci biti.
5872,Qui est entré dans la chambre ?,Ku dugg ci néeg bi ?
5873,Cherche-lui un couvercle !,Wutal ko kubéer !
5874,"Il s'est courbé, tu l'as frappé dans le dos avec le coude.","Dafa sëgg, nga kuccal ko."
5875,Celui qui a une cuillère ne se brûle pas.,Ku am kuddu du lakk.
5876,Malheur ! Dieu fasse que je n'épouse pas cet individu !,Kuf ! Yàlla bu ma séy ak waay soosu !
5877,Il y a une rivalité entre eux.,Dafa am kujje ci seen biir.
5878,Il est extrêmement noir.,Dafa ñuul kuk.
5879,C'est la canette qui est tombée.,Kukk bi moo wadd.
5880,Il ouvrit soudain le van qui recouvrait l'écuelle.,Mu ne kulbét mberu ma uboon këll ga.
5881,Ils ont un grand protecteur mystique.,Kumax gu mag lañu am.
5882,Apporte-moi mon pagne qui est là-bas !,Yót ma sama kumba sale !
5883,"Il faut prendre soin de ton jeune poulain, il est très beau.","Nanga toppatoo sa kumbudu gi, rafet na lool."
5884,Il ne sait pas garder un secret.,Manul denc kumpa.
5885,Tu n'en sauras rien.,Sa kumpa lay doon.
5886,Chacun aura sa part.,Ku-nekk dina am wàllam.
5887,"Alors, il lui donna un coup de pied et il tomba à terre.","Noona, mu kuntaaba ko, mu daanu ci suuf."
5888,Un bon coup de pied.,Kuntaaba bu saf.
5889,Il dit que tu dois découper le col.,Mu ne nga kuppati baat bi.
5890,Il y a longtemps que je n'ai pas mangé de crabe.,Géj naa lekk kuppukala.
5891,On aperçut au loin un nuage de poussière qui montait tout en haut.,Ñu séen fu sore pënd bu ne kur.
5892,C'est quand la radio l'a annoncé que le brouhaha a éclaté.,Ba ko rajo bi waxee la coow la ne kur.
5893,C'est un organisme qui s'appelle SYNPICS qui a convoqué une assemblée.,Kurél gu tudd SYNPICS moo woote ndaje.
5894,Un coup de poing à la poitrine.,Ab kurpeñ ci dënn.
5895,C'est ton chapelet.,Sa kurus la.
5896,"Cet enfant est tout le temps fesses nues, personne n'y peut rien.","Xale bii, kusug neen rekk, kenn manu ci dara."
5897,J'ai ramassé un chiot.,For naa kuti.
5898,Il a décapité la poule de colère.,Dafa kutt ganaar gi ndax mer.
5899,"De temps en temps, il ponctionne cinq cents francs de l'argent que tu envoies.",Léeg-léeg mu kut téeméer ci xaalis bi ngay yónnee.
5900,Le chien a des tiques.,Xaj bi dafa am ay kutt.
5901,C'est de la cordonnerie que mon grand-père a vécu jusqu'à sa mort.,Kuude la sama maam dunde ba ni mu deewe.
5902,Il est manchot.,Dafa kuuñ.
5903,C'est au manchot qu'on va donner cet emploi.,Kuuñ bi lañuy jox liggéey boobu.
5904,Pose le pilon.,Tegal kuur gi.
5905,Il a une écuelle de lutin.,Dafa am këllu kuus.
5906,Ton bélier s'est échappé.,Sa kuuy mi rëcc na.
5907,Sais-tu qui vend la maison ?,Xam nga kuy jaay kër gi ?
5908,Combien de fois lève-t-on les bras pour dire la profession de foi ?,Ñaata yoon lañuy kàbbar ?
5909,Le cheval se cabra et il tomba.,"Fas wi dafa kàbbar, mu daanu."
5910,Il ment.,Dafay kàcc.
5911,On a mis des cailloux noirs avant de daller.,"Xeeru kàcc lañu jiital, sooga dër."
5912,Je te fouetterai jusqu'à ce que tu pisses sur tes jambes.,Dinaa la kàcciri ba nga saw sa tànk.
5913,Le collier de cuir s'est rompu et la bourse est tombée.,"Kàcciri gee dog, nafa gi wadd."
5914,Il préfère le yogourt aigre.,Kàcc mee ko dàqal.
5915,Tu es une fieffée crapule.,Kàccoor bu mag nga.
5916,Il est raide.,Mu ngi ne kàdd.
5917,Va jusqu'à l'Acacia et tu tournes.,"Demal ba ca kàdd ga, nga jàdd."
5918,C'est le jeune Acacia qui apporte le grand Acacia.,Kar-kar ay indi kàdd.
5919,J'ai une petite marmite.,Kàddir gu ndaw laa am.
5920,Je t'ai donné ma parole.,Jox naa la sama kàddu.
5921,Tu n'as pas autorité ici. Tu n'as pas voix au chapitre ici.,Amuloo fi kàddu.
5922,On conserve ici les malles à livres du maître de Touba.,Fii lañu denc kàggu Borom Tuubaa.
5923,As-tu un os au bassin ou pas ?,Kàkkatar ! Am nga yaxub ndigg am caméléon !
5924,Il est d'humeur instable.,Kàkkatar la.
5925,Il fait des recherches sur les langues d'Afrique.,Ci kàllaamay Afirig lay gëstu.
