french_corpus,wolof_corpus
"Une société qui, en moins d'un demi-siècle, s'est architecturée en castes, lieux réservés, interdits, privilèges, abus et profits.","Yàgguñu fa dara – bu àggee ci genn-wàllu xarnu fa lay yem – ñoom wutkati alal yooyu, daldi beru, di wujje, ñeme wax ju sew, lépp lu ñu gis mu taxaw ñu daaneel, lu jag ñu yàq ngir rekk bëgg a gaaw a jot ca lañ doon yóotu."
"Banquiers, agents commerciaux, administrateurs civils ou militaires, juges, policiers et gendarmes.","Ñooñooy njiiti bànk yi, ňiy yëngu ci njaay meek njënd mi, ndawal buur yi walla soldaar yi, àttekat yi, alkaati yeek sàndarma yi."
"Autour d'eux, dans les grandes villes portuaires, Lomé, Cotonou, Lagos, comme à Georgetown en Guyane, s'est créée une zone propre, luxueuse, avec pelouses impeccables et terrains de golf, et des palais de stuc ou de bois précieux dans de vastes palmeraies, au bord d'un lac artificiel, telle la maison du directeur du service médical à Lagos.","Ay dëkki waax a leen wër, moo xam Lome la mbaa Kótónu mbaa Legoos, ñuy fàttali Baay Sorstaawun, ca Guwiyaan. Mu am fay gox yu set, bare daraja, gasoŋ ba jekk lool tabaarkàlla, ñu fay fo powu boroom barke moomu ñuy wax golf. Am na it ay kër yuy nirook ay màkkaani buur, ay garabi-tiir wër leen. Kër kilifay sarwiisi fajukaay ya ca Legoos, noonee la mel."
"Un peu plus loin, le cercle des colonisés, avec l'échafaudage complexe qu'ont décrit Rudyard Kipling pour l'Inde et Rider Haggard pour l'Est africain.","Nga jóge fa, dox tuuti daldi àgg fa doomi réew miy dankalikoo. Kilifay Tubaab yooyu nag, lijjanti seeni mbir, xam kan moo ciy kan ak lan la ku ci nekk yelloo, yombul. Ridyaar Kipliŋ jéem na cee bind ci wàllu Eend, ni ko Raaydëer Agaard jéeme ci penkub Afrig."
"C'est la frange domestique, l'élastique tampon des intermédiaires, greffiers, grouillots, chaouchs, chocras (les mots ne manquent pas !) , habillés à demi à l'européenne, portant chaussures et parapluies noirs.","Gàngóoru surga yi, gaa ñi nga xam ni daanaka dibi-dibeey seen liggéey, denckati kayiti àtte yi, wattukati kaso yi, réjjikat yi (ñoom ñépp ak seeni tur yu ñàng), sol yérey tubaab ak seeni dàll ak i parasool yu ňuul."
"Enfin, à l'extérieur, c'est l'océan immense des Africains, qui ne connaissent des Occidentaux que leurs ordres et l'image presque irréelle d'une voiture carrossée de noir qui roule à toute vitesse dans un nuage de poussière et qui traverse en cornant leurs quartiers et leurs villages.","Soo bawoo foofu, dem fu gën a sore, ngay soog a gis doomi réew mi, nit ñu ñuul ñi, baree-baree ba nga ni lii lu mu doon. Ñoom dara lañu jotewul ak Tubaab yi. Xanaa ab doxandéem di leen sant ñuy def. Walla boog léeg-léeg ñu séen ab woto – waaye ndax woto dëggëntaan la sax ? – muy xélu, di yëkkati pënd bu bareek a korne buy romb – fiiw ! fiiw ! –s eeni gox."
C'est cette image que mon père a détestée.,Njaayum puukare moomu la Baay siboon ba fu sib yem.
"Lui qui avait rompu avec Maurice et son passé colonial, et se moquait des planteurs et de leurs airs de grandeur, lui qui avait fui le conformisme de la société anglaise, pour laquelle un homme ne valait que par sa carte de visite, lui qui avait parcouru les fleuves sauvages de Guyane, qui avait pansé, recousu, soigné les chercheurs de diamants et les Indiens sous-alimentés ; cet homme ne pouvait pas ne pas vomir le monde colonial et son injustice outrecuidante, ses cocktails parties et ses golfeurs en tenue, sa domesticité, ses maîtresses d'ébène prostituées de quinze ans introduites par la porte de service, et ses épouses officielles pouffant de chaleur et faisant rejaillir leur rancœur sur leurs serviteurs pour une question de gants, de poussière ou de vaisselle cassée.","Moo ko taxoon a dogook Móris, waaye mu fekksi ko Afrig. Réewum Móris ak Tubaab ya doon noot ña fa fekk baax. Ak tamit boroomi tool yu réy a réy ya, ñoom ci seen bopp ñu fuuy ba dee. Baay dawoon na Àngalteer, ndax kàrt de wisit la ñu fay nattee nit. Dëddu loolu lépp taxoon koo xuus ca dex yu àlle ya ca Guwiyaan. Taxoon it muy fomp, di ňaw, di faj wutkati marjaan yeek Enjeŋ yi ndóoloon ba niróotuñu sax nit ; mënul woon a jaar ci jafe-jafe yooyu yépp te du suur nguurug Tubaab ba fàww. Ci dëgg-dëgg, doon na jafe mu weg gaa ñooñook seen i yérey golf, seeni ndajey càkkaay, ak niñ daan fowe jànqi dëkk bi, dem bay nekkaale léeg-léeg ak ay gone yu am fukki at ak juróom kese, ñu leen di jaarale ci seen buntu ginnaaw kër ndax rekk rus ñu gis leen ak jigéen ju dul Tubaab ni ñoom ; góori Móris ak seeni soxna yi dëkke jëwaate, tàngaay bi sonal leen, ñuy sippi seen mer ci seeni surga, di yuuxu ci seen kow subaak ngoon."
En parlait-il ?,Ndax Baay daan na wax lu ci jëm ?
D'où me vient cette instinctive répulsion que j'ai ressentie depuis l'enfance pour le système de la Colonie ?,Lu waral ba ma newee gone ba léegi may naqarlu ni Tubaab yiy noote Afrig te bañ lépp lu taq ci seeni mbir ?
"Sans doute ai-je capté un mot, une réflexion, à propos des ridicules des administrateurs, tel le district officer d'Abakaliki que mon père m'emmenait voir parfois et qui vivait au milieu de sa meute de pékinois nourris au filet de bœuf et aux petits gâteaux, abreuvés uniquement à l'eau minérale.","Ñàkkul am kàddu gu jibe bés ci gémmiñu Baay, ne cabax sama nopp yii, am liggéey buñ def ci sama biir xel. Xam naa dafa ci doon ŋàññ ngóor soosu newoon « District Officer » bu Abaakaliki, te mu daan ma yóbbu léeg-léeg këram. Foo ko fekkaan ay kuti yu baree nga ko wër mu leen di dundale yàppu nag walla ngato te daanu leen jox ñu naan lu dul ndoxum-butéel."
"Ou bien les récits de grands Blancs qui voyageaient en convoi, à la chasse aux lions et aux éléphants, armés de fusils à lunette et de balles explosives, et qui, lorsqu'ils croisaient mon père dans ces contrées perdues, le prenaient pour un organisateur de safaris et l'interrogeaient sur la présence d'animaux sauvages, à quoi mon père répondait : « Depuis vingt ans que je suis ici, je n'en ai jamais vu un, à moins que vous ne parliez de serpents et de vautours. » Ou encore le district officer en poste à Obudu, à la frontière du Cameroun, qui s'amusait à me faire toucher les crânes des gorilles qu'il avait tués et me montrait les collines derrière chez lui en prétendant qu'on entendait le soir la pétarade des grands singes qui le provoquaient en se frappant la poitrine.","Walla boog mu mas maa may ci jaloorey ponkali nit ňu weex ňa daan àndandook mbooloo mu takku, ne ñu ngay rëbbi gayndeek ňey, yore seeni fetal yu ànd ak longóor ak i bal yu naa téll. Saa yu ňu tasewaan ak Baay, yaakaar ni da doon yëngatu ci mbirum rëbb, te fàww ñu laaj ko yan njaàll fa amoon. Tontoom benn la mas a doon : « Bi ma fi ñëweek tey mat na ñaar-fukki at wànte su weesoo jaan ak tan, masu ma fee dajeek beneen rabu-àll. » Xéy-na it dama masoon a teewe fu muy kókkalee Kumandaŋu Óbudu, ca Kamerun. Kooku moom, dafa ma daan raayloo, ciy kaf, boppi dàngin ya mu ne woon moo leen rey, daan ma won itam tund ya woon ginnaaw këram. Ciy waxam de, fa lay coggali dàngin yu réy daan yéeg guddi gu nekk, tiim këram, di fëgg seen dënn ngir tiital ko."
"Et surtout, l'image obsédante que j'ai gardée, sur la route qui conduisait à la piscine d'Abakaliki, la cohorte des prisonniers noirs enchaînés, marchant au pas cadencé, encadrés par les policiers armés de fusils.","Lenn a ngi, nag, lu ma dul fàtte ba àddinay tukki : ci tali bi jëm sangukaayu Abaakaliki, ay nit ñu ñuul, ay galeer yu mel niy soldaar yuy maaj, ay takk-der séq leen ak seeni fetal."
Peut-être est-ce le regard de ma mère sur ce continent à la fois si neuf et si malmené par le monde moderne ?,"Amaana sunu gis-gisu yaay ci Afrig mujje noo wàll. Afrig ma doon door a juddu, daanaka, te ñu teel koo teg coono àddina yu dul jeex."
"Je ne me souviens pas de ce qu'elle nous disait, à mon frère et à moi, quand elle nous parlait du pays où elle avait vécu avec mon père, où nous devions le rejoindre un jour. Je sais seulement que, lorsque ma mère a décidé de se marier avec mon père, et d'aller vivre au Cameroun, ses amies parisiennes lui ont dit : « Quoi, chez les sauvages ? » et qu'elle, après tout ce que mon père lui avait raconté, n'a pu que répondre : « Ils ne sont pas plus sauvages que les gens à Paris ! »","Dëgg la, fàttalikuwuma la mu nu ci daan wax. Li am daal, moo di ne ba mu nee dafa fay fekki Baay, xaritam ya dañoo meloon ni ñu tiit, ni ko : « Nga ni lan ? Looy wuti ci dëkki sowaas yooyu ? » Tontu bu leer te gàtt la leen tontu : « Waa Pari gënuñu leen a nite benn yoon ! » Te tont boobu, mu nga ko wékkoon ca la ko Baay daan faral a nettali ci Afrig."
"Après Lagos, Owerri, Abo non loin du fleuve Niger.","Romb Legoos ak Ówéri, daldi agsi Aboo, ci wetu dexu Niseer."
Déjà mon père est loin de la zone « civilisée ».,"Baay a ngi dandu ndànk-ndànk dëkki taax yi, maanaam dëkk yu silwiise yi."
"Il est devant les paysages de l'Afrique équatoriale tels que les décrit André Gide dans son Voyage au Congo (à peu près contemporain de l'arrivée de mon père au Nigeria) : l'étendue du fleuve, vaste comme un bras de mer, sur lequel naviguent pirogues et bateaux à aubes, et les affluents, la rivière d'Ahoada avec ses « sampans » aux toits de palmes, poussés par des perches, et plus près de la côte, la rivière Calabar, et l'échancrure du village d'Obukun, taillée à coups de machette dans l'épaisseur de la forêt.","Mu ngi ci Afrigu fentaakoon bu mag ma, Andare Siid, Afrig gi mu nuy nataalal ci téereem bu siiw boobu tudd Voyage au Congo. Bindkat boobook Baay a yeggandoo Afrig, daanaka. Li leen yéem, fees seeni bët, benn la tamit : yaatuwaayu dex gi, gaal yeek saxaari-géej yi ciy doxantu, bànxaasi dex yi, dexug Awóyadaa ak i gaalam ya ñu teg xobitiir ca kow te di leen bëmëxey bant yu gudd ; ci wetu tefes gi, dexug Kalabaar, ak dog-dogu dëkkub Óbukun, ňu yatt kook jaasi ci fi àll bi gënee fattu."
"Ce sont les premières images que mon père reçoit du pays où il va passer la plus grande partie de sa vie active, du pays qui va devenir, par force et par nécessité, son vrai pays.","Loolooy nataal yi jëkk a song Baay ca réew ma mu doon waaj a daani dooleem li ëpp cig dundam. Réew ma mujjee doon, mu neex ko mu naqadi ko, réewam dëggëntaan."
"J'imagine son exaltation à l'arrivée à Victoria, après vingt jours de voyage.","Baay def na ñaar-fukki fan ci gaal gi, jëm Wiktoryaa."
"Dans la collection de clichés pris par mon père en Afrique, il y a une photo qui m'émeut particulièrement, parce que c'est celle qu'il a choisi d'agrandir pour en faire un tableau.","Xam naa waroon naa bég ba mu fa àggee…Ci dajaleb fotoom ya, benn a ciy gën a daw sama yaram. Baay ci boppam bëggoon na lool foto boobu ba sax yàkki ko, def ko nataal, wékk."
"Elle traduit son impression d'alors, d'être au commencement, au seuil de l'Afrique, dans un endroit presque vierge.",Fii nag mooy ndoorteelu Afrigam. Mu koy gise ni béréb bu doom-aadama masul a teg tànk.
"Elle montre l'embouchure de la rivière, à l'endroit où l'eau douce se mêle à la mer.","Nataal baa ngi fésal bël bi, fa ndox mu neex miy jaxasook ndoxu géej."
La baie de Victoria dessine une courbe terminée par une pointe de terre où les palmiers sont inclinés dans le vent du large.,Ruqu-géeju Wiktoryaa ngi def ab lunk-lunk bu jeexe ci catu suuf lu garabi-tiir yay sujjóotal ci ngelawu géej gi.
La mer déferle sur les roches noires et vient mourir sur la plage.,Géej gaa ngi mar ak a maraat xeer yu ňuul yi ci tefes gi.
"Les embruns apportés par le vent recouvrent les arbres de la forêt, se mêlent à la vapeur des marécages et de la rivière.","Puuriti ginnax yaa ngi muur garabi àll bi, jaxasook saxaar siy bawoo ci ban beek dex gi."
"Il y a du mystère et de la sauvagerie, malgré la plage, malgré les palmes.","Géej gaa ngii. Garabi-tiir yaa ngi nii ñoom tamit. Moonte liñ leen di miin yépp, teewul mbir mi mel ni lu kéemaane te raglu."
"Au premier plan, tout près du rivage, on voit la case blanche dans laquelle mon père a logé en arrivant.","Ci kanamu nataal bi, lu sorewul lool tefes gi, benn néegu-ñax bu weex a ngi fi. Néegu-ñax boobu la Baay njëkk a fanaan."
"Ce n'est pas par hasard que mon père, pour désigner ces maisons de passage africaines, utilise le mot très mauricien de « campement ».","Seetlu woon naa ni néeg yooyu ñuy dalale gan ci Afrig, Baay masu leen a tudde lu dul « kampamaŋ »."
"Si ce paysage le requiert, s'il fait battre mon cœur aussi, c'est qu'il pourrait être à Maurice, à la baie du Tamarin, par exemple, ou bien au cap Malheureux, où mon père allait parfois en excursion dans son enfance.","Muy baat ba ñuy jëfandikoo ca Móris. Loolu biral ni saa yu bët yiy doxantu ci gàncaxu Afrig, gàncaxu Móris day ñëw tegu ci kowam."
"Peut-être a-t-il cru, au moment où il arrivait, qu'il allait retrouver quelque chose de l'innocence perdue, le souvenir de cette île que les circonstances avaient arrachée à son cœur ?","Li mu njëkk a gis Afrig, mënoon na ko gis ci ruqu-géeju Tamareŋ walla boog Kab-Malëro ba mu xawoon a miin ca ngoneem. Amaana sax mu dem ba yaakaar ni Afrig dina ko lëkkalewaat ak Móris, jubale leen."
Comment n'y aurait-il pas pensé ?,Naka la mënoon a baň a xalaat loolu ?
"C'était bien la même terre rouge, le même ciel, le même vent constant de la mer, et partout, sur les routes, dans les villages, les mêmes visages, les mêmes rires d'enfants, la même insouciance nonchalante.","Amul dara lu wutale Afrig ak Móris. Suuf su xonq si benn la, asamaan si benn la te it ngelawu géej gi benn la. Te su loolu weesoo, mbedd moo aw gis ni xar-kanam yi niroo ak ni nit ñi féexalee seen àddina, gis fa itam gone yuy fo, di reetaan."
"Une terre originelle, en quelque sorte, où le temps aurait fait marche arrière, aurait détricoté la trame d'erreurs et de trahisons.",Waaw : ndoorteelu dunyaa ngi nii. Jamono walbatiku. Démb doon tey. Njuumteek wor ne fàŋŋ.
"Pour cela, je sens son impatience, son grand désir de pénétrer à l'intérieur du pays, pour commencer son métier de médecin.","Looloo waral may yëg ni mu yàkkamtee dugg ci biir réew mi, ngir gaaw a tàmbalee faj nit ñi."
"De Victoria, les pistes le conduisent à travers le mont Cameroun vers les hauts plateaux où il doit prendre son poste, à Bamenda.","Yooni Wiktoryaa yaa nga jëm tundu Kamerun, ca dëkki tangori Bamendaa yu kowe ya mu waroon a doore liggéeyam."
"C'est là qu'il va travailler pendant les premières années, dans un hôpital à moitié en ruine, un dispensaire de bonnes sœurs irlandaises, murs de boue séchée et toit de palmes.",Dispañseeru waa kër làbbe yu jigéen a ko fa doon xaar. Dispañseer bu màggat ak i miiri banam yuñ teg xobi garabu-tiir.
C'est là qu'il va passer les années les plus heureuses de sa vie.,"Mbégte ma Baay yëg foofu, dund na ba dee yëgaatu ko feneen."
"Sa maison, c'est Forestry House, une vraie maison en bois à étage, recouverte d'un toit de feuilles que mon père va s'employer à reconstruire avec le plus grand soin.","Këram a ngi tudd Forestry House, dib taaxukowu dénk, jànq ba muurook i xob. Mu doon it kër gu Baay masul a tàyyee defaraat ak a toppatoo."
"En contrebas, dans la vallée, non loin des prisons, se trouve la ville haoussa avec ses remparts de pisé et ses hautes portes, telle qu'elle était au temps de la gloire de l'Adamawa.","Forestry House a ngi tiim dëkkub awsa ak tatay banam ak i buntam yu kowe, di fàttali jamono ja Aadamawaa nekkee ci ndënd yi."
"Un peu à l'écart, l'autre ville africaine, le marché, le palais du roi de Bamenda, et la maison de passage du district officer et des officiers de Sa Majesté (ils ne sont venus qu'une seule fois, pour décorer le roi).","Sësu rikk ci moom, beneen gox bu ay doomi-réew mi doŋŋ dëkk. Fa la màrse beek Màkkaanu Buuru Bamendaa nekk. Ci gox boobu ba tey la ñuy dalal « District Officer » bi ak ófisey làrmeb Àngalteer. Ófise yooyu sax, kenn kott a ca mas a teg tànk Bamendaa, ngir ñëw tappal Buur bi ab sagaru medaay."
"Une photo prise par mon père, sans doute un peu satirique, montre ces messieurs du gouvernement britannique, raides dans leurs shorts et leurs chemises empesées, coiffés du casque, mollets moulés dans leurs bas de laine, en train de regarder le défilé des guerriers du roi, en pagne et la tête décorée de fourrure et de plumes, brandissant des sagaies.","Nataal bi Baay jël bés boobu – mu leer ni da leen doon kókkali ci suuf – a ngiy wone ndawi gornmaa àngale bi, ňu ne jadd ak seeni tubay yu gàtt ak seeni kask ak simis yu ňu gome. Ñu ngi toog di seetaan jàmbaari buur biy fecc, woddoo sér, di yëkkatiy xeej ak a gësëm njaňi kawari xar yeek dunq yiñ teg ci seen bopp."
"C'est à Bamenda que mon père emmène ma mère après leur mariage, et Forestry House est leur première maison.","Bamendaa la Baay yóbbu sama yaay ba mu séysee. Kon Forestry House mooy kër gi ñu jëkk a dëkk, ñoom ñaar."
"Ils installent leurs meubles, les seuls meubles qu'ils ont jamais achetés et qu'ils emporteront avec eux partout : des tables, des fauteuils taillés dans des troncs d'iroko, décorés de sculptures traditionnelles des hauts plateaux de l'Ouest camerounais, léopards, singes, antilopes.","Jamono jooju lañu mas a jënd ay móobal. Fépp fu ñu mas a toxu, dañ yóbbaale móobal yooyu. Lim baa ngi, gàtt ba dee : ay taabal, toogu yu ňu yàtt ci dàttu iróko te ñu jekk-jekkal kook i nataali golo mbaa yu segg mbaa yu kooba, ni ko waa sowu-jantu Kamerun aadawoo."
"La photo que mon père prend de leur salon à Forestry House montre un décor très « colonial » : au-dessus du manteau de la cheminée (il fait froid à Bamenda en hiver) est accroché un grand bouclier en peau d'hippopotame, assorti de deux lances croisées.","Nataalu Forestry House bi fi Baay bàyyi day fàttali bu baax nguuru Tubaab yi ca jamono jooju. Ci kow andu-Tubaab bi (Bamendaa dinay faral di liw lool) la kiiraay lu mag lonku, ñu defare ko deru léebéer te galen ci kowam ñaari xeej."
"Il s'agit vraisemblablement d'objets laissés là par un précédent occupant, car cela ne ressemble pas à ce que mon père pouvait rechercher.","Xam naa ni fa la ko Baay fekk ndax ni ma ko xame, nataal boobu woroo na lool ak gis-gisu Afrigam."
"Les meubles sculptés, en revanche, l'ont accompagné jusqu'en France.","Móobal yooyu nag, ya ca ëppon maanaa topp nañ ko ba Tugal."
"J'ai passé une grande partie de mon enfance et de mon adolescence au milieu de ces meubles, assis sur les tabourets pour y lire les dictionnaires.","Man mii, ni ma nekkee gone gu ndaw ba jóge fa doon waxambaane, ci tabure yu ñu yatt yooyu la daan toog di jàng samay sàqum-baat."
"J'ai joué avec les statues d'ébène, avec les sonnettes de bronze, j'ai utilisé les cauris en guise d'osselets.","Fowe naay nit ak i mala yu ñu yatte dàttu aloom, fowe jóolóoliy xànjar, jël naay tani def leen i caqi yax yu ndaw."
"Pour moi, ces objets, ces bois sculptés et ces masques accrochés aux murs n'étaient pas du tout exotiques.",Dama mas a jàpp ni kenn mënumaa ëpple ci bant yooyu ňu yatt ak mask yi doon lonke ci miir yi.
"Ils étaient ma part africaine, ils prolongeaient ma vie et, d'une certaine façon, ils l'expliquaient.","Ñoo doon sama cër ci Afrig, ňoo ma daan gunge, gën ma tax a xam, daanaka, lan a ma tàbbal dunyaa, man mii."
"Et avant ma vie, ils parlaient du temps que mon père et ma mère avaient vécu là-bas, dans cet autre monde où ils avaient été heureux.","Te it, daan naa ci jàng lu bare ci la samay ñaari way-jur jot a dund foofa, bég fa, nekk fa ci seen noflaay, laata may ganesi àddina."
Comment dire ?,Naka laa ko mën a waxe sax ?
"J'ai ressenti de l'étonnement, et même de l'indignation, lorsque j'ai découvert, longtemps après, que de tels objets pouvaient être achetés et exposés par des gens qui n'avaient rien connu de tout cela, pour qui ils ne signifiaient rien, et même pis, pour qui ces masques, ces statues et ces trônes n'étaient pas des choses vivantes, mais la peau morte qu'on appelle souvent l'« art ».","Li wóor te wér moo di ne bi loolu lépp weesoo, ma doon mag, xam, xàmmee, saa yu ma gisee ku xamul dara ci Afrig jënd jumtukaay yooyu, damay jaaxle mbaa léeg-léeg sax ma mer. Dafa fekk ni du woon luy dund dëgg ci seen biir xol. Der bu dee la woon rekk, ñu neey loolu lañ tudde « taaral »."
"Pendant leurs premières années de mariage, mon père et ma mère ont vécu là leur vie amoureuse, à Forestry House et sur les routes du haut pays camerounais, jusqu'à Banso.","Ci at yu njëkk ya ci seenub séy, Baay ak sama yaay dund naň fa seen mbëggeel, moo xam ca Forestry House la woon mbaa ci taliy Kamerun yi jëmoon Bansoo."
"Avec eux voyageaient leurs employés, Njong le chocra, Chindefondi l'interprète, Philippus le chef des porteurs.","Seeni surga daan naňu tukkeek ňoom. Ku ci mel ni Njoŋ, « sokaraa » ba, walla Sindefondi, làppto bi, walla Filipus njiitu yenukat ya."
Philippus était l'ami de ma mère.,Filipus a doon sama xaritu yaay.
"C'était un homme de petite taille, doué d'une force herculéenne, capable de pousser un tronc pour dégager la route ou de porter des charges que personne n'aurait pu soulever.","Ndaama lu amoon doole la, randal ab dàtt ngir xàll yoon walla yenu sëf bu diis, du woon dara ci moom."
"Ma mère racontait que plusieurs fois il l'avait aidée à traverser des rivières en crue, en la tenant à bout de bras au-dessus de l'eau.","Sama yaay daan na wax ni du benn du ñaar, Filipus aj na ko ciy loxoom di xuus ci biir dex gu yëngatu."
"Avec eux voyageaient aussi les inséparables compagnons de mon père, qu'il avait adoptés à son arrivée à Bamenda : James et Pégase, les chevaux, le front marqué d'une étoile blanche, capricieux et doux.","Am na ñeneen ñaar, nag, ñuy ànd ak moom tukki : Sams ak Pegaas, ñaari fas yi te bu ci nekk am biddéew bu weex ci jë bi, mën a reewantu te sedd."
"Et son chien, nommé Polisson, une sorte de braque dégingandé qui trottait en avant sur les chemins, et qui se couchait à ses pieds partout où il s'arrêtait, même lorsque mon père devait poser pour une photo officielle en compagnie des rois.","Xajam ba, Polisoŋ, du nangoo des ginnaaw. Polisoŋ nag, wutewul ak xaju-sàmm, xaw a mel ni ku rabe. Dafa taq Baay ba foo ko fekk mu ngi tëdd ci tànk yi. Bu Baay dee nataalook yenn kilifa yu mag yi, ci Màkkaanu Buuru Bamendaa walla feneen, Polisoŋ day jaaxaan ci wetam, ànd ak fulla ju mat sëkk."
"À partir de mars 1932, mon père et ma mère quittent la résidence de Forestry House à Bamenda et s'installent dans la montagne, à Banso, où un hôpital doit être créé.","Ci weeru mars 1932 la samay way-jur jóge Forestry House ca Bamendaa, dem dëkki Bansoo, fa nguur gi waroon a tabax ab fajukaay."
Banso est au bout de la route de latérite carrossable en toutes saisons.,"Ngir teeri Bansoo, muy noor di nawet, oto bi day daw cib taliy raŋ-raŋ ba jeexal ko."
"C'est au seuil du pays qu'on dit « sauvage », le dernier poste où s'exerce l'autorité britannique.",Daanaka soo ko weesoo rekk yaa ngi ci àll bi. Fa la kilifteefu Àngale yi yem.
"Mon père y sera le seul médecin, et le seul Européen, ce qui n'est pas pour lui déplaire.","Baay rekk a fay fajkat te beneen nit ku weex newu fa ku dul moom. Te loolu de, wóor na ma ni am na ci mbégte mu réy."
Le territoire qu'il a en charge est immense.,"Gox bi mu yilif nag, yaatu na lool."
"Cela va de la frontière avec le Cameroun sous mandat français, au sud-est, jusqu'aux confins de l'Adamawa au nord, et comprend la plus grande partie des chefferies et des petits royaumes qui ont échappé à l'autorité directe de l'Angleterre après le départ des Allemands : Kantu, Abong, Nkom, Bum, Foumban, Bali.","Mu ngi dale digaloom ak Kamerun gi ci moomeelu Farañse yi, wuti bëj-gànnaar, ca cati Aadamawa, ëmbaale dëkk yu ndaw-ndawaan yi Àngale yi jotul woon a teg loxo ba ñu fa dàqee Almaŋ yi. Muy dëkk yu mel ni : Kantu, Aboŋ, Nkom, Bum, Fumbaŋ ak Baali."
"Sur la carte qu'il a établie lui-même, mon père a noté les distances, non en kilomètres, mais en heures et jours de marche.","Baay rëddal na boppam dénduw béréb yooyu ma tudd. Waaye màndarga ma mu taamu ngir fésal diggante ñaari dëkk du ay kilomet, ay waxtook ay bés lañu. Buñ nee bés nag, mooy ñaata bés ngay doxeek say tànk."
"Les précisions indiquées sur la carte donnent la vraie dimension de ce pays, la raison pour laquelle il l'aime : les passages à gué, les rivières profondes ou tumultueuses, les côtes à gravir, les lacets du chemin, les descentes au fond des vallées qu'on ne peut faire à cheval, les falaises infranchissables.","Leeral yi ci dénd wi ňooy jox réew mi dayoom dëgg, di wone it li tax mu bëgg ko ba fu bëgg yem : yoon yi am ub xuusu, dex yu xóot yi te yëngu, mbartal yi ňu war a yéeg, sarale yi ci yoon wi, xur yi fas dul song, xeer yu mag yi sampu ci tefes gi te nga xam ni xool doŋŋ la ci ñépp am."
"Sur les cartes qu'il dessine, les noms forment une litanie, ils parlent de marche sous le soleil, à travers les plaines d'herbes, ou l'escalade laborieuse des montagnes au milieu des nuages : Kengawmeri, Mbiami, Tanya, Ntim, Wapiri, Ntem, Wanté, Mbam, Mfo, Yang, Ngonkar, Ngom, Nbirka, Ngu, trente-deux heures de marche, c'est-à-dire cinq jours à raison de dix kilomètres par jour sur un terrain difficile.","Ci dénd yi muy rëdd, tur yi mel niy baat yuy dekkali dox bi ñuy dox ci ñax mi, naaj wu tàng wi, walla coonoy yéeg ay tangor yuy raay niir yi. Tur yaa ngi : Keŋawméeri, Mbiyaami, Tañaa, Tim, Wapiri, Njem, Wànte, Mbam, Mfoo, Yaŋ, Ngonkaar, Ngom, Birkaa, Nguu…Ci juróomi fan, ñu dox lu mat fanweeri waxtu ak ňaar, te du benn fan wu ñu doxul fukki kilomet."
"Plus les arrêts dans les hameaux, les bivouacs, les soins à donner, les vaccins, les discussions (les fameuses palabres) avec les autorités locales, les plaintes qu'il faut écouter, et le journal de bord à tenir, l'économie à surveiller, les médicaments à commander à Lagos, les instructions à laisser aux officiers de santé et aux infirmiers dans les dispensaires.","Jafe-jafe yi yemul foofu, ndax fàww ñu taxaw ci yenn dëkk yi, su guddee ñu war faa samp mbaar. Paj mi tamit ci la, ak ndaje yi ci pénc mi, ñu war faa toog di werante jëmale ajag-jag. Waaye ginnaaw kilifay dëkk yooyu dañoo gaaw a gis seen bopp, mënul a def lu dul déglu leen ñuy xuloo, di tamante dëmm, moom mu leen di jéem a jubale. Te laata muy dem fenn, fàww mu wax ña ko fay toogal yan garab lañu war a wuti Legoos. Du nelaw mukk te tëralul ci karneem lépp li mu gis ak lépp li mu dégg ci bés bi, ngir liggéeyam jëm kanam."
"Pendant plus de quinze ans, ce pays sera le sien.","Lu mat fukki at ak juróom ak lu topp, réew moomu doŋŋ ay réewam."
"Il est probable que personne ne l'aura mieux ressenti que lui, à ce point parcouru, sondé, souffert.","Amaana sax, kenn masu ko koo gën a jege mbaa gën koo gëstu ay mbiram. Bariwul tamit ñu fa jaabante ni moom, miin dëkki-kow yépp, daanaka, walla ñu daj fa coono bi mu fa daj."
"Rencontré chaque habitant, mis au monde beaucoup, accompagné d'autres vers la mort.","Ku fay doom-aadama, am na fu mu jaar ak yow ; mooy doktoor biy rewle te du benn du ñaar nit sukkuraat na, mu teewe ko, ñaanal la."
"Aimé surtout, parce que, même s'il n'en parlait pas, s'il n'en racontait rien, jusqu'à la fin de sa vie il aura gardé la marque et la trace de ces collines, de ces forêts et de ces herbages, et des gens qu'il y a connus.","Kon, ku ñu ni doomi-réew moomu amoon nañu cofeel gu réy ci moom, du la bett. Moonte moom ci boppam daawu ko ndamoo. Wànte màndargay Afrigam masuñu koo may jàmm. Masul a fàtte tund yaak àll bu xonq ba rawatina doom-aadama yi mu fa digaleel."
"À l'époque où il parcourt la province du Nord-Ouest, les cartes sont inexistantes. La seule carte imprimée dont il dispose est la carte d'état-major de l'armée allemande au 1/300 000 e relevée par Moisel en 1913.","Su weesoo dénd wi làrme réewum Almaañ defar ci xasabu 1/300 000, te ku ñuy wax Muwaasel jëfandikoo ko ci atum 1913, Baay amutoon beneen nataalu diiwaanu sowu-kow ba mu daan wër."
