wolof,french
Attekat õgeen ci ban yoon ?,Vous êtes des juges en vertu de quel droit ?
Yéen dem õgeen,"Vous, vous avez été"
bépp,tout
Maa di dem !,C'est moi qui vais partir !
war,monter
saxaar,fumée train
Waxati ma la koon dara.,Je ne te répéterai plus jamais rien.
Naan ?,Comment ?
Demal Ndar mu mën ñëw walla mu yonnée !,Va à Saint-Louis pour qu'il puisse venir ou qu'il envoie quelqu'un !
Foofu la ba ba ñuy gis feneen.,C'est là jusqu'au moment où nous trouverons un autre lieu.
soppalante,s'épauler dans l'estime
Ibraayima,Ibrahima
nuu,ceux-ci près de toi
"Õga dem la, góor gi bëgg.","Que tu partes, c'est ce que désire l'homme."
Doo nitu jamm !,Tu n'es pas homme de paix !
Nit laa !,J'ai été quelqu'un !
Gisul yeneen.,Il n'en a pas vu d'autres.
Noonu la woon.,Ainsi fut.
as xar,un petit mouton
bëgg,aimer
wuutal,substituer
tañcu,se coincer
Góor gi bëggul,L'homme n'a pas voulu
yéen,vous
dëgg,piétiner
Ci keneen ki ñëw.,Chez l'autre qui est arrivé.
Loolu doõõ !,Cela simplement !
Góor gi kenn la.,L'homme est unique.
Gis õga doomu jigéen jan ?,Tu as vu le fils de quelle femme ?
loola,cela
Bu demulwoon,S'il n'avait pas été
Ma toog fan ?,Où puis-je m'asseoir ?
Duma dem,Je n'irai pas
Dem naa...,Je suis parti...
"Nit ñi õga ma wàn ñépp, kii laa ci wóolu.","Des gens que tu m'as présentés, celui que voici me dispose le plus à la confiance."
Yawum Masaar laa wax.,Je te parle à toi fils de Massar.
Wutël leneen !,Cherche autre chose !
taõg,chaud
jambuur-jambuur,habitant de la région des hommes libres
araféef wu tëx,consonne sourde
bañ,refuser
waa joor,habitants de l'arrière-pays
Musaa rekk !,Moussa seulement !
kii,celui-ci
"Dellu, soo bëggée, biir Ndar !","Si tu veux, retourne au centre de Saint-Louis !"
Dañu defewoon ci õgoon ag ci suba yépp da dem !,On croyait que tu allais partir matin et soir !
Wutëli leen gaal !,Va leur chercher une barque !
foofale,là-bas
Góor gi dem,Le Monsieur est parti
Lii lan ?,Cela quoi ?
ca,à cet endroit-là
Góor gii demoon,Cet homme qui a été
amoon,inactuel
Samay xarit !,Mes amis !
Te bu fi kenn jogé !,Et que nul ne bouge !
Xammee õga waa joojule ?,Tu reconnais cette personne-là ?
xew,événement
Nit la ku baax !,C'est un homme gentil !
Seetal gaynde geneen !,Cherche un autre lion !
njël,aube
Jigéen ñan ñoo réer ?,Quelles femmes se sont égarées ?
sëg,cimetière
kookuu,celle-ci
Nit keneen kaa laa wax !,Je parle de cet autre homme que voilà !
Waaye man sax dama dul ñëw !,"Mais, même moi, je ne viendrai pas !"
file,là a cet endroit
Dafa di nitu tay.,C'est un homme de son époque.
Gis naa la ak moom !,Je t'ai vu avec lui !
goor,s'affaisser
tooy,humide
Fan õga jëm?,Où vas-tu ?
xac,chien
ba nag,ainsi donc
gaawantu,empressement
Naka ?,Comment ?
Kajoor,Cayor
warugar,dot
ndax itam,afin aussi
foofale,là tout près de toi
xanaa !,bien sur !
Maay dem,C'est moi qui pars
moontin,en fait
sax-sax,chef de province
Yaw doõõ laa wax.,Je parle de toi seul.
"Keneen, ki ñëw !","L'autre, celui qui est arrivé !"
Nit la woon ci dagg !,C'était un homme en vérité !
Buur bi buur la fii.,Le roi est souverain ici.
jaõg,dent de travers
waaye nag,malheureusement
Yaa õgi tawax.,"Te voilà debout, ici."
mar,avoir soif
ya,auxquels
àndandoo,cohorte
Jigéen ji ñaan na ndax xale yi agg te itam seen baay nekk fa.,La femme pria pour que les enfants arrivent et aussi pour que leur père soit dans les lieux.
ag,avec
Gis naa sama xarit yee !,J'ai vu mes amis !
Giskoonuñu ka,Nous ne l'eussions pas vu
adduji,devoir répondre à l'avenir
Ñu õgi toog,Nous voilà assis
Kooku la !,Celui-là !
Sindax bi ci foofuu !,Un lézard par là !
jaambur,homme libre
Fattu,être obstrué
Ñu õgoogee.,"Les voilà, là-bas."
Idi,nom
"Kooka ak kile, bokkuñu !",Celui-là et celui-ci n'ont rien de commun !
wàññi,retourner
itam,aussi
Sa yay nee dana ñëw ci õgoon.,Ta mère dit qu'elle viendra ce soir.
ñjambaas,rebord
lamb,tâter
naw,souffle
Man demuma,Moi je n'irai pas
waaye sax,du reste
Mu doon Lebu Yoff.,C'était un Lebou.
"Wante itam, demuloo","Tu n'as pas été, non plus"
Gan dëkku Séeréer õga wax ?,Tu parles de quelle ville Sérère ?
Xale yile yarunañu.,Ces jeunes gens sont sages.
ëpp,dépasser les limites
Deekoon õgeen,Vous seriez morts
Dana dem ba õgeen beg.,Il ira afin que vous soyez heureux.
Dem õga te ñëw na.,Tu as été et il est venu.
Góor gi ak xale bi génn nañu.,L'homme et l'enfant sont partis.
Dans góor gi bëgg na õga dem te mu ñëw.,L'homme veut que tu ailles et qu'il vienne.
xamb,attiser un feu
Nit ñan ñoo réer ?,Quelles personnes se sont égarées ?
Jëlël lépp !,Prends la totalité !
giir,descendance
jig,porter bonheur
wax,dire
obali,bailler
Soo dee góor,Si tu es homme
Nit la te góor õga !,C'est un homme de chair et d'os et tu es un homme !
Kajoor,Province du Sénégal
Jigéen ji bëgg na õgeen am waaye it õgeen di maye.,La dame voudrait bien que vous ayez mais aussi que vous donniez.
Góor demul,Homme n'a été
nawle,un égal
dend,voisiner
Ni õga def noonu.,Cela que tu as fait.
Góor gi bëgg na õga ñëw.,L'homme veut que tu viennes.
Jigéen ñi danañu naõgu,Les femmes accepteront
Nit ñan ñoo ñëw ?,Quelles personnes sont venues ?
bër,être en vacance
weer,lune
Wool xale yi dul dem fenn.,Appelle les enfants qui n'iront nulle part.
saõxal,brisures de mil
deaale,mourir en même temps
Góor gi dem te xale yi dugg !,Que l'homme parte et que les enfants entrent !
Joxeel foofu doõõ ñari yoon !,"Rien que là, donne deux fois !"
safara,feu
tafu,s'aplatir contre une paroi
jiyi,aller semer
Séen naa ay ndaw.,J'ai aperçu des messagers.
Gis õga nit kookee ?,"Tu vois, cet homme là ?"
Séen naa as ndaw.,J'ai aperçu une jeune fille.
Loolu di guy.,Cela c'est un baobab.
Li õga wax la ndaw si taamu.,C'est ce que tu as dit que la jeune femme préfère.
leneen rekk,autre chose seulement
gëmmentu,avoir sommeil
duggonte,se lier
Nit lañu !,Elles ont été quelqu'un !
ca ñoom,vers eux
Góor gi di xel doõõ.,Cet homme n'est qu'intelligence.
Koo gis ?,Qui as-tu vu ?
Nan õga def ?,Comment vas-tu ?
"Nit la, nit õga...","Il est homme, tu es homme..."
Seetal xar meneen !,Cherche un autre mouton !
Yu daw ?,Lesquels ont fui ?
Laobe õgeen woon.,Vous fûtes Laobé.
Dañu doonkoon nitu alal.,Nous serions des gens de fortune.
rafet,de n'être pas belle
gannaaw,du moment que
Su góor gi bëggée,Si l'homme accepte
déeyóo,confidence
boppa,tête
rattkat,celui qui trait
Yaakaar naa góor gi la !,Je crois que c'est l'homme !
génnandoo,sortie collective
Génnéel bépp nag woo gis !,Fais sortir toute vache que tu vois !
patt,borgne
Beneen néeg laa bëgg !,C'est une autre maison que je veux !
jiitalante,succession
faj,soigner
fër,avoir une dysenterie
jigéen,femelle
Su dee Lawbe Rao,S'il est Laobe de Rao
Defe naa ni keneen ki la !,Je crois que c'est l'autre !
Xamoon õga jaõx ba ?,Tu connaissais la jeune fille ?
faar,côte
Ndax dem na ?,Est-ce qu'il est parti ?
Mbaa kenn demul,Que personne n'est parti
"Séetal ci bir, ci biti, ci suuf ak ci kaw.","Regarde à l'intérieur, à l'extérieur, en bas et en haut."
loolale,ce fait-là
giir,lignée
ñaari goroõ,figures de danse
ak,par
Dama dem,C'est que j'ai effectivement été
géer,homme de noble caste
Gis naa xale booba ?,J'ai vu cet enfant-là ?
noonile,de cette manière-ci
Mbaa kenn demul,J'espère que personne n'est parti
jéggi,enjamber
Koo wax,De qui parles-tu ?
sañ,manque de gêne
Gis naa xar mu góor ma.,J'ai vu le mouton mâle.
sop,turbulent
lale,de fait-là
Góor gi giskoon na la,L'homme t'eût vu
góor,mâle
Àndal ak yar !,Sois poli !
"Góor gee ni kookule la, soo demee !","L'homme a dit que c'est celui-là, peut-être !"
"Góor gi la, yaakaar naa !",Je crois que c'est l'homme !
naqadi,désagréable
képp,le tout
bëgg-bëgg,désir
Maa õgi ci bir kär gi.,Je suis dans la maison.
daggit,morceau
Bëggóon õgeen dem rekk.,Le désir non exaucé de vous voir partir.
waaye sax,par contre
taõk,pied
Demuloowoon ca biir,Tu n'avais pas été à l'intérieur
dak,serviteur
kër-kër,de bruits et de mouvement
xar,fendre
La õga wax la.,Tu as dit cela.
Seetil nag yépp !,Va voir toutes les vaches !
coppalin,manière de changer
Ñeñeen lañu.,Il s'agit d'autres.
wàllu,secourir
addu,son
Danaa dem,J'irai
bant,baton
"Jënd na xar, bëy, ganaar...","Il a acheté moutons, chèvres, poulets..."
ñenn nit,certaines gens
Gis õga coroom la woon ?,Tu te rappelles son amour d'autrefois ?
Xale yooya daan ñëw ñëwëtuñu.,Les enfants qui venaient ne viennent plus.
siiwal,publier
degu àll,épine de brousse
Yeneen nit laa gis !,C'est d'autres gens que j'ai vus !
daj,toucher
déeyóo,se concerter
Su demee,S'il est parti
gépp,chaque
waa réew,nationaux
Góor gi demoon na,L'homme avait été
Bu nu demee lépp baax !,"Quand on ira, tout ira !"
gaññar,crispation du visage
xar xar,fente
Ku dem,Qui a été
Du keneen ki.,Ce n'est pas l'autre.
Gisóon õga jigéen joojule ?,Tu avais vu cette femme ?
jaõg,dent mal plantée
Nil : wóoy !,Dis : « woy » !
wante,toutefois
xamadi,ignorer
Dafa bañ rewande.,C'est qu'il déteste l'impolitesse.
reei,aller rire
waxé,parler avec
Góor gi mi õgi.,"L'homme, le voilà."
Yobul na fi xar góor gi.,Il y amena un mouton pour l'homme.
araf raññee,élément de « classé »
Demal ça moom góor gi !,Va voir l'homme lui-même !
Keneen kookale xaritam la.,Cet autre-là est un ami à lui.
nii,comme ci
dap,rejoindre
Kii ?,Celui-ci ?
bareedi,singulier
gaññ,se crisper le visage
sëriñ,musulman
Gis naa doomu nitu Gaanjóol gi.,J'ai vu le fils de l'homme de Gandiole.
walla,sauf si
jabar,jouer les devins
dawal,conduire
Góor gi dem,L'homme qui s'en alla
reew,être impoli
daõal,tendre
"Moom, Musaa, dem na","Lui, Moussa, est parti"
Yeewal mépp xar !,Attache tout mouton !
wépp,tout
Na...,Qu'il...
wànal,montrer quelque chose à quelqu'un de la part de quelqu'un d'autre
bootaay,la manière de porter sur le dos
Ba yaa õgii di dem !,"Ainsi, tu vas t'en aller !"
jaambur,un quidam
tiis,inquiétude
lu,qu'est-ce qui
Góor gi nee ñépp dem !,L'homme demande à tous de partir !
ñaar,deux
Xale bi tawat la wax.,Il parle de l'enfant qui souffre.
Góor gi dem na waaye xale yi demuñu.,L'homme est parti mais les enfants ne le sont pas.
Gis õga jigéen ñeneen ñooñu ?,As-tu vu ces autres femmes en question ?
reewaale,rire en même temps de
Nit lawoon !,"Ce fut un homme, un vrai !"
araféef wu léer,consonne sonore
"Demal, ndax mu di, leneen, mu di feneen... !","Vas-y pour que ce soit autre chose, que ce soit ailleurs... !"
Gis naa góor gi ñëw !,J'ai vu l'homme qui est venu !
Yan bes õga fa demoon ?,Tu y as été quels jours ?
baxbax-lu,faire semblant d'être gentil
Deõk naa la boobule woon.,Je te confie celui-là.
Noonu,Alors
"Xale yi set nañu ci biir, ci biti gisuñu dara.","Les enfants ont cherché à l'intérieur, à l'extérieur, mais n'ont rien trouvé."
Gis naa sama xarit yeneen yooyuu !,J'ai vu mes autres amis !
Waxal ci ñii !,Parle au sujet de ceux-ci !
naan,de quelle manière
õgëm,croyance
nii,ainsi
ndeke,mais
"Bëgg në õga ñëw, mu bañ dem su nëjul... !","Je veux que tu viennes, qu'il refuse de partir s'il n'y a pas de soleil... !"
tooy-tooy,humidité
jar,se vendre bien
foofee,là-bas
Gis naa jeeg bi.,Il a vu la dame.
addooku,phonétique
Moo doon dem,C'est lui qui allait
Góor gi nee xale yi demkoon nañu fa.,L'homme soutient que les enfants y eussent été.
Su bëggée kañ !,"Si elle veut, bien sûr !"
loolu,ce fait
paq,coiffure de jeune fille
Nil : wóoy !,Crie !
Yaa daawoon dem,C'est toi qui avais l'habitude d'aller
wàyaan,quémander
"Moontin, dem naa","Et pourtant, j'ai été"
Mu dem ? ?,Qu'il parte ?
sawu,urinoir
nenn,en aucune manière
Liggéeykat yi ñun la.,Les travailleurs c'est nous.
wande nag,mais
Gis õga samay xarit yan ?,Tu as vu quels amis à moi ?
Xar moomu man õga wax ?,Tu parles de ce mouton ?
jógé,se redresser grâce à
Yaw la ndaw si sopp,C'est toi qui aimes la jeune femme
Daõga gis kan ?,Tu as vu qui ?
Bul dem tay jii !,Ne sors pas aujourd'hui !
tann,choir
fadd,abattre
yenn,certaines gens
Nit ag gaynde duñu dëkkóo.,Homme et lion ne peuvent cohabiter ensemble.
Dil nitu nit ñi !,Sois l'homme de tout le monde !
Noonu la woon.,C'était ainsi.
Ku demkoonul,Qui ne serait pas allé
ñun,nous
Ana õgoor ?,Où est NGor ?
mule,celle-ci
noonale,de cette manière-là
itt,frapper
Su dee dem,Quand il partira
tëb,sauter
Yaa õgii demoon fu ñu la tere.,Voilà que tu as été dans un lieu interdit.
maggat,vieillesse
xuyy,illuminer
gabbkat,piocheur
Amul ardo benn Jéeri boo xamul !,Il n'est Ardo d'aucun Dieri que tu ne connaisses !
seetu,se mirer
"Defewoon na, ci subë si, ci bes bi, daa dem !","Je croyais que tu irais, ce matin, ce jour... !"
wàñoo,déchirement
yeew,attacher
po,jeu
Gis na keneen ki woon.,"J'ai vu l'autre, dont il fut question."
fii,ici
Góor gi du tëggu wurus.,L'homme n'est pas un orfèvre.
Nit kan a réer ?,Quel homme s'est égaré ?
Solul na góor !,Habille-toi en garçon !
Ñii dañu demul xanaa !,Ceux-ci ne partent peut-être pas !
yennu nit,certaines gens
dogoo,se brouiller définitivement
xeeñ,sentir
Jënd ñaa menn xar mi.,J'ai acheté le mouton.
Bu ñu dem !,Qu'ils ne partent pas !
Moo demoon,C'est lui qui avait été
baax,être bon
Gis na ma man !,Il m'a vu moi !
suuféel,rabaisser
Ci biir õgeen jëm ?,C'est à l'intérieur que vous allez ?
siit,suinter
ci biir,vers celui-ci
wàññeeku,se retourner
sépp,chaque
kennu nit,un seul homme
yooya,auxquels
Yéen dem õgeen,Vous avez été
bi,lorsque
Foo jëm ?,Où vas-tu ?
seggaat,filtrer une fois encore
loola,ce fait-là
Ci keneen ki ci buntu kër gi.,Vers cet autre qui est devant la porte de la maison.
Maa di dem !,C'est moi qui pars !
Seet õga néeg buu ?,Tu as regardé dans cette chambre-ci ?
fu,où
Kenn nëwul.,Nul n'est venu.
"Soo demee, kookule la !","C'est celui-là, peut-être !"
Béppu dëkku Séeréer set na !,Tout village Sérère est propre !
Waxul ndax góor gi.,Il n'a rien dit à cause de l'homme.
rucci,honorer
na mu,qu'il
Kooku dem na,Celui-là est parti
xoolante,se regarder
Sa xarit yi ag sa mbokk yi danañu ñëw,Tes parents et tes amis viendront
Xar yan ñoo réer ?,Quels moutons se sont égarés ?
Xar muu duuful ?,Ce mouton n'est pas gras ?
Kile la.,C'est celui-là.
Laobe õga woon.,Tu fus Laobé.
far,effacer
Gis õga xale bii ?,Tu vois ce garçon-là ?
des,constituer un résidu
Góor gi rekk a ñëwul.,Seul l'homme n'est pas venu.
Kii dafa demkoon,Celui-ci serait parti
Du góor.,Ce n'est pas un homme.
egg,arriver
jéex,fouiller dans le sol
"Woo naa ka, ba mi õgi","Je l'ai appelé, aussi est-il là"
ñaari goroõ,deux rythmes
daõ daõ,trépigner
Moom mile ci buntu kër gi la.,C'est celui-là même devant le seuil de la maison.
Bëgg na gëléem.,Il aime le chameau.
Seetal néeg beneen !,Cherche une autre maison !
Kooy waxal ?,À qui parles-tu ?
Góor gi doon na di nit koo xam ni...,Il se trouve que l'homme est de ces gens qui...
ndaw,envoyé
Naka góor gi tudd ?,Comment s'appelle l'homme ?
dajji,défoncer
xasaw,puer
Defaral ci biir rekk !,Mets de l'ordre à l'intérieur seulement !
Nit ñooñii génn ay mbër lanu.,Ces gens qui sont sortis sont des lutteurs.
Maa demoon,C'est moi qui ai été
buur,au roi
"Xale yi bëgg nañu dikk, te mag ni ñaan nañu õgeen dem.",Les enfants veulent venir et les adultes souhaitent que vous partiez.
fu,ici
Yan fas õga bëggoon ak wan õga japp ?,Quels chevaux voulais-tu et lequel as-tu pris ?
Maa dul dem,C'est moi qui ne pars pas
Faatim la soo demee !,C'est peut-être Fatim !
Xale bi ne õgeen dugg !,L'enfant dit d'entrer !
"Waaye nag, xale yi bëggunu","Malheureusement, les enfants ne veulent pas"
Dem fa !,Vas-y !
ci biir,vers dedans
àndandoo,aller en groupe
lañc,bouchée
May na ka õgir yaw.,Il lui a donné à cause de toi.
te itam,mais aussi
Gaynde gee lekk moomu mépp,C'est le lion qui a mangé entièrement celui-là
Ñooñu ñépp woon demuñu,Tous ceux-là ne sont pas partis
soppal,estimer à cause de quelqu'un
toskare,connaître un mauvais sort pied
jépp,chaque
araf wu tëju,occlusive
daggat,morceau
wecci,changer
cu,de
waaye,malheureusement
sampa,planter
araf céexal,gémination
Demoon fôfu,Y avoir été
"Soo demee, Faatim la !","C'est Fatim, si on va au fond des choses !"
Maa õgi dem ci dara !,Voilà que j'ai été pour rien !
liggéeykat,travailleur
Gis naa sana xarit yi !,J'ai vu mes amis !
jamaale,concurrencer
ñaanaatu,quémander
Maa di dem !,C'est moi qui suis en train de partir !
fale,à ce moment-là
reeaatle,rire encore avec quelqu'un
Séen naa ay nit.,J'ai aperçu des gens.
Ñeneen a õgi.,En voilà d'autres.
"Soo bëggul, ci biir !","Si tu ne veux pas, à l'intérieur !"
te nak,et encore
foofuu,là tout près de toi alors
Mu di ñeneen ñi.,Mais ce sont les autres.
Na góor gi dem ba xale yi yeksi.,L'homme doit s'en aller jusqu'à ce que les enfants reviennent.
siifal,accaparer quelque chose pour quelqu'un
Waxtaan ak kenn kan ?,Converser avec lequel ?
yëf,choses
googu,quiconque
ñuulbiir,méchant
Dinaa dem,Je partirai
fàr,effacer
Doo nitu jamm !,Tu n'es pas un homme de paix !
raññe ameef,catégorie de l'actuel
Ya õgi te mi õgi !,Le voilà et le voilà !
nenn,une façon
Góor demul,Nul n'a été
May na waa ji xaalis.,Il a offert à l'homme de l'argent.
Noonee nan ?,Comment ?
Ray na gaynde gu jigéen.,Il a tué une lionne.
Noonee nan ?,De quelle manière ?
Xar yu ñuul dinañu feeñ.,Les moutons noirs seront retrouvés.
walla nak,ou enfin
Joxeel foofu doõõ ñari yoon !,Donne deux fois rien que là !
cempit,portion extraite
Kookule la soo demee !,C'est peut-être celui-là !
Du sabar gi !,Ce n'est pas le tambour !
"Doo dem, xanaa ?",Tu ne partiras donc pas ?
Tay danaa dem !,J'irai aujourd'hui !
"Nit, gayndé, nag, àndoon nañu fi.","Homme, lion, boeuf, allaient de concert."
arafu geen,phonème final
gaaw,rapide
mbaax,bonté
Wuutóogul,Il ne s'est pas encore substitué à
"Noonu itam, ma bañ génn","Mais alors, je refusai de sortir"
génn,sortir
mos,goûter
"Bonag, dey mu ñibbi","Dans ce cas, qu'il rentre"
Benn boobule laa la may.,C'est celui-là celui-là l'un que je te donne.
Góor gi waxtaan na ag yaw.,L'homme a causé avec toi.
sëgg,se courber
géwél,griot
Samba ?,Samba ?
far,allié
biir,ventre
Ndaw senn réerul.,Aucune jeune fille ne s'est égarée.
araf wu séex,géminée
gistal,exhibitionnisme
fac,soigner
Kenn demul mbaa,J'espère que personne n'est parti
kuu,celui-là devant
dóor,frapper
ci,au sujet
Yaa õgoogu rekk !,Te voilà tout simplement !
Demumawoon fenn tày ci suba.,Je n'avais été nulle part ce matin.
Jox na ka keneen ku sawar.,Il l'a donné à quelqu'un d'autre de très actif.
Seni gëñ la !,C'est leurs dents !
Nit ku góor la.,C'est un homme.
Yaa õgoogule.,"Te voilà, là."
Waxuma xale yooyale ?,Je ne parle pas de ces enfants ?
foofee,à ce moment-là
Xam õga nit kookuu ?,Tu connais cet homme-là ?
Kii moom dafa naqadi deret !,Celui-là a mauvais caractère !
Keneen ki la ñu xam.,C'est l'autre que nous connaissons.
Yaral xar !,Élève des moutons !
sóox,chair
Góor gi nee na la fi saõx : ci bitiMark[ !] !,L'homme t'a dit ici il y a un instant : dehors !
lépp,le tout
Sa xarit la !,C'est ton ami !
Góor gi moo dulwoon boroom kër gi !,C'est l'homme qui n'était pas le maître de maison !
Nit ka dem ag nit kooka dee duñu benn.,L'homme parti et l'homme décédé ne sont pas les mêmes.
Duñu lekki,Ils ne vont pas manger
atté,juger
Mayal ñépp benn !,Donne un à chacun !
Gis naa seeni xarit yooyu yépp !,J'ai vu tous vos amis en question !
Su dee dem,S'il part
"Nit, gaynde, xar, ak bukki duñu ànd.","Homme, lion, mouton et hyène, ne vont pas ensemble."
fay,abandonner le faj domicile conjugal
Ñenn nit ñi yegseeguñu.,Certaines personnes ne sont pas encore arrivées.
xer,berge
tuuti xaalis ci yaw,un peu d'argent de toi
ag itam,et aussi
gise,se concerter
Waa jii moo demul,Cette personne n'a pas été
dem,partir
Ñii dañu demul xanaa !,Ceux-ci ne sont peut-être pas partis !
fatu,s'enfermer chez soi
lal,étendre
Saatu yan ñoo réer ?,Quels couteaux se sont égarés ?
ñaari goroõi,aller danser le naari goroõ
Góor gi nit la.,L'homme est sain d'esprit.
ñaawaay,la laideur
Yaa ka gis moom Samba.,"C'est toi qui l'as vu, lui, Samba."
xajal,faire de la place à quelqu'un
Benn ban õga gisul ?,L'un lequel n'as-tu pas vu ?
moomule,celle-ci
Fan õga jëm ?,Où vas-tu ?
xamadi,insolence
Gis naa sa xarit yeneen yi !,J'ai vu tes autres amis !
yi,celles-ci
Mi õgi foofule !,Il est par-là !
Góor gi nee mi õgi fi.,L'homme affirme qu'il est là.
Bale xale laa wax ?,Je parle de cet enfant là-bas ?
Liggéeykat ya xale ya la woon.,Les travailleurs c'était les enfants.
wàl,piler
gannaaw,derrière
te,alors que
mpar,espèce de cheval
Ne jigéen ji ñëw te mu toog.,Il demande que la femme vienne et que lui il reste.
Là bëggóon ?,Que souhaitais-tu ?
Maa dem.,C'est moi qui pars.
Dem nañu,Nous sommes partis
Neex na ?,C'est bon ?
Kee nit õgay gis,Cet homme là-bas que tu vois
doc,pierre
yuu,celles-ci
Góor gi du ñibbi.,L'homme ne rentrera pas chez lui.
wér,guérir
ñi,auxquels
Man ak yaw ñooy ànd !,Toi et moi irons ensemble !
Dem nañu...,Elles sont partis...
bëggante,s'aimer
Góor u Nafi ak Soxna !,Frère de Nafi et Sokkna !
Jile wax rafetul !,Ce n'est pas là une belle parole !
juddu,naissance
"Bëgg naa ci juróomi waxtu, ci subë, õga ñëw !",Je veux que tu viennes le matin à cinq heures dans la fraîcheur !
Lëf lenn réerul.,Rien ne s'est égaré.
Góor gi may na dara nit.,L'homme a donné quelque chose à quelqu'un.
an,enlever
Góor gi dem ?,Que l'homme parte ?
ñooñu,auxquels
Laobe la woon.,Il fut Laobé.
"Man, maa õgi.","Moi, me voilà."
buur,roi
ëñu,se retrousser les manches
Ñii dañu demul ?,Ceux-ci ne sont pas partis ?
fi,alors que
Mi õgi fi.,Il y est.
Gis õga nit ki ?,Tu as vu l'homme ?
Demal rekk !,Vas-y seulement !
Dama bëgg dem,C'est que je veux partir
Mi õgii dem na,"Le voilà, il est parti"
Bëggulóo xaalis walla alal.,"Tu ne veux ni argent, ni fortune."
kookii,celui-ci près de toi
Séen naa aw nit.,J'ai aperçu un homme.
Yooyale fas wan õga bëgg ?,Quel cheval veux-tu ?
õabb,tenir à bout de bras
Góor gaa õgi.,"L'homme, le voilà."
weqi,dessaler
Jile jigéen jan õgeen wax ?,Vous parlez de quelle dame (ici) ?
Seetal ma ñenn ñuu !,Surveille-moi les-uns que voilà !
tax,calebasse
saxal,faire pousser
male,celle-ci
Mi õgi noonu rekk,Le voilà tout simplement
"Nee waa jii gor la, goor la, jambe la...","Il dit que ce Monsieur est un homme, il est noble, il est brave..."
Keneen la ku yeksi ?,C'est un autre qui est venu ?
woor,jeûner
Amal õgor ba mën nekk nit !,Aie assez de sérénité pour conserver ta dignité !
fatta,boucher
Nit kenn ki ñëw na.,L'un des hommes est venu.
ñaq,sueur
Góor dëgg du fen !,Un homme de bien ne ment pas !
Te bul ñëw jaõgu ba de !,Et ne viens surtout pas à l'école !
ci,parmi
ci,dans
moontin,cependant
Jambaar la ba mu ëpp !,Il est « excessivement » courageux !
gannaaw,après que
li,ce que
Gis õga samay xarit yan ?,Tu as vu lesquels de mes amis ?
dañ,caracoler
raõ raõ lu,faire du vacarme
Ñeñeen lañu.,Il sont d'autres.
Góor gi ñëw ?,L'homme qui est venu ?
kon nag,s'il en est ainsi
Soo demee kookule la !,C'est peut-être celui-là !
du moom !,ce n'est pas lui !
dog,couper
mbubb,boubou
mooma,celui
fo,jeu
Yaa demulwoon,C'est toi qui n'a pas été
Génnal !,Sors !
Yéen ñile la !,C'est vous-mêmes !
Góor la ?,C'est un homme ?
Góor gi demkoon,L'homme qui eut été
"Liggéey bii, ba mu sotti !","Sur le travail, jusqu'à ce qu'il soit fait !"
Gis naa kooku woon.,"J'ai vu celui-là, auparavant."
Fas yan ñoo réer ?,Quels chevaux se sont égarés ?
Defe naa du ñëw !,Je crois qu'il ne viendra pas !
Góor gi dana dem tay ji,L'homme partira aujourd'hui
samp,planter
li woon,ce qui fut
Góor ñi deekoon nanu.,Les gens en eussent été morts.
fan,où
népp,de toute façon
Séen naa ay gëléem.,J'ai aperçu des chameaux.
mi õgile,le voici
araf céex,géminée
Jigéen ñi demuñu Ndar ba tày.,Les femmes n'ont été à Saint-Louis jusqu'ici.
génnandoo,sortir ensemble
Deñcal yëf yi !,Range les affaires !
balaa,avant que
Na dugg ci biir su bëggée !,Qu'il entre !
Moo dawulwoon ñëw,C'est lui qui n'avait pas l'habitude de venir
Lu muy jooy ?,Que pleure-t-il ?
Dem õga ?,Tu pars ?
Nit la.,C'est un homme.
xamp,mordre à pleines dents
dogal,pourboire
Menn nit ñëwul.,Aucun homme n'est venu.
ndemin,façon d'être
te kat,et surtout
Moo di loola !,Quel être !
Génnéel wépp fas woo gis !,Fais sortir tout cheval que tu vois !
Mu di kii.,Mais c'est celui-ci.
Dil noppi !,Tais-toi !
ak,en compagnie de
Góor gii la xale yi wax.,C'est de l'homme que parlent les enfants.
bu,lorsque
Su dulwoon Lawbe,S'il n'était pas Laobe
coxor,méchanceté
xar,percer
"Bon nag, maa õgi dem","Dans ce cas, je pars"
Defal naka sa moroom yi !,Fais comme tes pairs !
Amul benn ardow Jéeri boo xamul !,Il n'est de Ardo du Dieri que tu ne connaisses !
Xale buu laa wax.,Je parle de ce petit.
dogal,couper pour quelqu'un
Kooku rekk ñëwul.,Celui-là n'est pas venu seul.
Góor gi dem ci biir kër gi ?,L'homme peut-il aller dans la maison ?
Gis naa ka woon.,J'ai vu celui dont il fut question.
gan,hôte
dendandoo,voisinage
Fu mu jëm ?,Où va-t-il ?
naqadil,rendre
matt,bois de chauffage
Foofu góor gi dem fu rafet la.,Là où l'homme est parti est beau.
Naa...,Que je...
Gis naa nit ki.,J'ai vu l'homme.
Bayyi ma õgir yalla !,"Laisse-moi de grâce, au nom de Dieu !"
"Jigéen ji, moom waxatul !","La vieille, elle, ne parla plus !"
Gis naa la yaak moom !,Je t'ai vu avec lui !
Mbaa xale yi yeksi nañu ?,"Les enfants sont arrivés, j'espère ?"
reeaale,rire en même temps
nag,boeuf
